time_step,served_cumulative,expired_cumulative,queued_current
1,0,0,2
2,0,0,3
3,0,0,4
4,0,0,5
5,1,0,6
6,1,0,6
7,1,0,7
8,1,0,8
9,3,0,9
10,4,1,8
11,5,1,7
12,5,1,7
13,5,1,8
14,5,1,9
15,6,2,10
16,7,3,9
17,7,3,8
18,7,4,9
19,7,4,9
20,9,5,10
21,10,5,8
22,10,6,8
23,12,6,8
24,13,6,7
25,14,6,7
26,14,6,7
27,14,6,8
28,15,6,9
29,15,7,9
30,15,8,9
31,16,9,9
32,16,10,8
33,17,10,8
34,17,10,8
35,18,10,9
36,19,10,9
37,19,11,9
38,20,11,9
39,21,11,9
40,22,12,9
41,22,12,8
42,24,12,9
43,24,12,8
44,24,12,9
45,24,13,10
46,24,14,10
47,26,15,10
48,27,15,8
49,27,16,8
50,28,16,8
51,28,16,8
52,29,16,9
53,31,16,9
54,31,16,8
55,31,16,9
56,32,17,10
57,32,18,9
58,33,19,9
59,34,19,8
60,35,19,8
61,35,19,8
62,37,19,9
63,37,19,8
64,38,19,9
65,38,19,9
66,40,20,10
67,40,21,8
68,40,22,8
69,41,22,8
70,41,22,8
71,41,23,9
72,42,24,9
73,43,24,8
74,43,24,8
75,44,25,9
76,44,25,8
77,44,26,9
78,45,26,9
79,45,27,9
80,45,27,9
81,46,28,10
82,47,28,9
83,48,28,9
84,49,29,9
85,50,29,8
86,51,29,8
87,52,29,8
88,52,29,8
89,52,29,9
90,53,29,10
91,53,30,10
92,54,31,10
93,55,32,9
94,56,33,8
95,56,33,7
96,56,33,8
97,57,33,9
98,57,34,9
99,57,35,9
100,59,35,9
101,59,36,8
102,59,36,8
103,60,37,9
104,61,37,8
105,62,37,8
106,63,37,8
107,63,38,8
108,63,38,8
109,64,39,9
110,65,39,8
111,65,39,8
112,65,39,9
113,66,40,10
114,66,41,9
115,67,41,9
116,67,41,9
117,69,42,10
118,69,42,8
119,70,43,9
120,70,43,8
121,70,44,9
122,70,44,9
123,71,44,10
124,74,44,10
125,75,44,8
126,75,45,8
127,75,45,8
128,75,46,9
129,76,46,9
130,77,47,9
131,78,47,8
132,78,48,8
133,80,48,8
134,81,48,7
135,81,48,7
136,81,48,8
137,81,48,9
138,81,49,10
139,81,50,10
140,83,51,10
141,84,52,8
142,85,52,7
143,86,52,7
144,86,52,7
145,87,52,8
146,89,52,8
147,90,53,7
148,91,53,6
149,91,53,6
150,91,53,7
151,91,53,8
152,91,53,9
153,92,54,10
154,93,55,9
155,94,55,8
156,95,55,8
157,96,55,8
158,96,55,8
159,97,56,9
160,97,56,8
161,97,56,9
162,97,57,10
163,98,57,10
164,99,58,10
165,101,59,9
166,102,59,7
167,102,59,7
168,102,59,8
169,102,60,9
170,104,60,9
171,105,60,8
172,106,60,8
173,106,60,8
174,108,60,9
175,108,60,8
176,109,60,9
177,110,60,9
178,110,61,9
179,111,61,9
180,112,61,9
181,113,62,9
182,115,63,8
183,115,63,6
184,116,63,7
185,116,63,7
186,116,63,8
187,118,63,9
188,119,63,8
189,119,64,8
190,119,64,8
191,120,64,9
192,122,65,9
193,123,65,7
194,124,65,7
195,124,65,7
196,125,65,8
197,127,65,8
198,127,66,7
199,127,66,7
200,127,67,8
201,128,67,8
202,128,67,8
203,128,68,9
204,129,69,9
205,129,69,8
206,130,69,9
207,132,70,9
208,132,70,7
209,133,70,8
210,133,70,8
211,134,70,9
212,135,70,9
213,135,71,9
214,135,71,9
215,136,72,10
216,136,73,9
217,137,73,9
218,138,73,9
219,138,74,9
220,140,75,9
221,140,75,7
222,140,75,8
223,140,75,9
224,141,76,10
225,142,76,9
226,143,76,9
227,144,77,9
228,144,77,8
229,144,77,9
230,147,77,10
231,148,77,8
232,149,77,8
233,151,77,8
234,152,77,7
235,153,77,7
236,153,77,7
237,153,77,8
238,154,77,9
239,154,77,9
240,155,77,10
241,157,77,10
242,159,77,9
243,160,77,8
244,160,77,8
245,161,77,9
246,161,78,9
247,162,79,9
248,162,79,8
249,162,80,9
250,162,81,9
251,163,81,9
252,165,81,9
253,167,81,8
254,167,82,7
255,167,82,7
256,168,82,8
257,169,82,8
258,170,82,8
259,170,82,8
260,170,83,9
261,170,84,9
262,171,84,9
263,171,85,9
264,172,85,9
265,172,86,9
266,172,87,9
267,174,87,9
268,174,87,8
269,176,88,9
270,176,88,7
271,176,88,8
272,178,88,9
273,180,88,8
274,182,88,7
